       0 | 4305
    1000 | 23349258
    2000 | 4739874
    3000 | 9900692
    4000 | 19186495
    5000 | 27558389
    6000 | 39494472
    7000 | 51939010
    8000 | 67036019
    9000 | 85399592
   10000 | 116088785
   11000 | 138775776
   12000 | 160635199
   13000 | 188249031
   14000 | 210196351
   15000 | 258777881
   16000 | 290330538
   17000 | 322534311
   18000 | 369744326
   19000 | 407477113
   20000 | 448216862
   21000 | 532989066
   22000 | 932234598
   23000 | 1325707578
   24000 | 873692043
   25000 | 664101186
   26000 | 709637317
